imdb_id,movie_title
tt0111161,The Shawshank Redemption
tt0068646,The Godfather
tt0071562,The Godfather: Part II
tt0468569,The Dark Knight
tt0050083,12 Angry Men
tt0108052,Schindler's List
tt0167260,The Lord of the Rings: The Return of the King
tt0110912,Pulp Fiction
tt0060196,"The Good, the Bad and the Ugly"
tt0120737,The Lord of the Rings: The Fellowship of the Ring
tt0137523,Fight Club
tt0109830,Forrest Gump
tt1375666,Inception
tt0080684,Star Wars: Episode V - The Empire Strikes Back
tt0167261,The Lord of the Rings: The Two Towers
tt0133093,The Matrix
tt0099685,Goodfellas
tt0073486,One Flew Over the Cuckoo's Nest
tt0047478,Seven Samurai
tt0114369,Se7en
tt0118799,Life Is Beautiful
tt0317248,City of God
tt0102926,The Silence of the Lambs
tt0038650,It's a Wonderful Life
tt0076759,Star Wars: Episode IV - A New Hope
tt0120815,Saving Private Ryan
tt0245429,Spirited Away
tt0120689,The Green Mile
tt6751668,Parasite
tt0816692,Interstellar
tt8503618,Hamilton
tt0110413,Léon: The Professional
tt0114814,The Usual Suspects
tt0056058,Harakiri
tt0110357,The Lion King
tt0088763,Back to the Future
tt0253474,The Pianist
tt0103064,Terminator 2: Judgment Day
tt0120586,American History X
tt0027977,Modern Times
tt0054215,Psycho
tt0172495,Gladiator
tt0021749,City Lights
tt0407887,The Departed
tt1675434,The Intouchables
tt2582802,Whiplash
tt0482571,The Prestige
tt0095327,Grave of the Fireflies
tt0064116,Once Upon a Time in the West
tt0034583,Casablanca
tt0095765,Cinema Paradiso
tt0047396,Rear Window
tt0078748,Alien
tt0078788,Apocalypse Now
tt0209144,Memento
tt0082971,Raiders of the Lost Ark
tt0032553,The Great Dictator
tt7286456,Joker
tt1853728,Django Unchained
tt0405094,The Lives of Others
tt0050825,Paths of Glory
tt0081505,The Shining
tt0910970,WALL·E
tt4154756,Avengers: Infinity War
tt0043014,Sunset Blvd.
tt0119698,Princess Mononoke
tt0051201,Witness for the Prosecution
tt4633694,Spider-Man: Into the Spider-Verse
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
tt0364569,Oldboy
tt1345836,The Dark Knight Rises
tt0087843,Once Upon a Time in America
tt4154796,Avengers: Endgame
tt0090605,Aliens
tt6033368,Your Name
tt2380307,Coco
tt0169547,American Beauty
tt0112573,Braveheart
tt1187043,3 Idiots
tt0082096,Das Boot
tt0114709,Toy Story
tt0057565,High and Low
tt0086879,Amadeus
,
tt0086190,Star Wars: Episode VI - Return of the Jedi
tt0361748,Inglourious Basterds
tt0105236,Reservoir Dogs
tt0119217,Good Will Hunting
,
tt0062622,2001: A Space Odyssey
tt0180093,Requiem for a Dream
tt0052357,Vertigo
tt0022100,M
tt5074352,Dangal
tt8579674,1917
tt0338013,Eternal Sunshine of the Spotless Mind
tt2106476,The Hunt
tt0033467,Citizen Kane
tt0093058,Full Metal Jacket
tt0040522,Bicycle Thieves
tt0012349,The Kid
tt0066921,A Clockwork Orange
tt0053125,North by Northwest
tt0208092,Snatch
tt0045152,Singin' in the Rain
tt0086250,Scarface
tt0075314,Taxi Driver
tt0211915,Amélie
tt0056172,Lawrence of Arabia
tt0044741,Ikiru
tt0435761,Toy Story 3
tt0070735,The Sting
tt0017136,Metropolis
tt1832382,A Separation
tt0059578,For a Few Dollars More
tt1255953,Incendies
tt0053604,The Apartment
tt0036775,Double Indemnity
tt0056592,To Kill a Mockingbird
tt0091251,Come and See
tt0097576,Indiana Jones and the Last Crusade
tt1049413,Up
tt2095684,L
tt0113277,Heat
tt0071853,Monty Python and the Holy Grail
tt0095016,Die Hard
tt2759632,Rashômon
tt0066763,Anand
tt0055630,Yojimbo
tt0372784,Batman Begins
tt6966692,Green Book
tt0363163,Downfall
tt0118849,Children of Heaven
tt0105695,Unforgiven
tt0053291,Some Like It Hot
tt0089881,Ran
tt0347149,Howl's Moving Castle
tt0268978,A Beautiful Mind
tt0057115,The Great Escape
tt0042192,All About Eve
tt0112641,Casino
tt0457430,Pan's Labyrinth
tt0993846,The Wolf of Wall Street
tt1305806,The Secret in Their Eyes
tt0120735,"Lock, Stock and Two Smoking Barrels"
tt0096283,My Neighbor Totoro
tt0081398,Raging Bull
tt0469494,There Will Be Blood
tt0055031,Judgment at Nuremberg
tt0040897,The Treasure of the Sierra Madre
,
tt5027774,"Three Billboards Outside Ebbing, Missouri"
tt0046912,Dial M for Murder
tt0015864,The Gold Rush
tt0071315,Chinatown
tt0434409,V for Vendetta
tt0477348,No Country for Old Men
tt1130884,Shutter Island
tt0050976,The Seventh Seal
tt2096673,Inside Out
tt1291584,Warrior
tt0080678,The Elephant Man
tt0117951,Trainspotting
tt0167404,The Sixth Sense
tt0084787,The Thing
tt0107290,Jurassic Park
tt0031381,Gone with the Wind
tt0050986,Wild Strawberries
tt0083658,Blade Runner
tt0266543,Finding Nemo
tt0120382,The Truman Show
tt3170832,Room
tt0050212,The Bridge on the River Kwai
tt0079944,Stalker
tt0266697,Kill Bill: Vol. 1
tt0116282,Fargo
tt0046438,Tokyo Story
tt0041959,The Third Man
tt0047296,On the Waterfront
tt1205489,Gran Torino
tt0353969,Memories of Murder
tt0077416,The Deer Hunter
tt3011894,Wild Tales
tt4729430,Klaus
tt8108198,Andhadhun
tt0107207,In the Name of the Father
tt0978762,Mary and Max
tt2267998,Gone Girl
tt2119532,Hacksaw Ridge
tt0118715,The Big Lebowski
tt2278388,The Grand Budapest Hotel
tt0116231,The Bandit
tt0112471,Before Sunrise
tt0264464,Catch Me If You Can
tt0035446,To Be or Not to Be
tt0060827,Persona
tt1950186,Ford v Ferrari
tt0017925,The General
tt0892769,How to Train Your Dragon
tt1392214,Prisoners
tt0015324,Sherlock Jr.
tt0356910,Mr. & Mrs. Smith
tt2024544,12 Years a Slave
tt0072684,Barry Lyndon
tt1392190,Mad Max: Fury Road
tt0074958,Network
tt0092005,Stand by Me
tt0405159,Million Dollar Baby
tt0061512,Cool Hand Luke
tt0052618,Ben-Hur
tt1028532,Hachi: A Dog's Tale
tt0758758,Into the Wild
tt0046268,The Wages of Fear
tt0097165,Dead Poets Society
tt0091763,Platoon
tt1201607,Harry Potter and the Deathly Hallows: Part 2
tt0079470,Monty Python's Life of Brian
tt3315342,Logan
tt1979320,Rush
tt0048021,Rififi
tt4016934,The Handmaiden
tt0019254,The Passion of Joan of Arc
tt0053198,The 400 Blows
tt0060107,Andrei Rublev
tt0395169,Hotel Rwanda
tt1895587,Spotlight
tt0245712,Amores Perros
tt0405508,Rang De Basanti
tt0087544,Nausicaä of the Valley of the Wind
tt0075148,Rocky
tt0113247,La Haine
tt1954470,Gangs of Wasseypur
tt0198781,"Monsters, Inc."
tt0032976,Rebecca
tt8613070,Portrait of a Lady on Fire
tt0381681,Before Sunset
tt0025316,It Happened One Night
tt0018773,The Circus
tt0118694,In the Mood for Love
tt0087884,"Paris, Texas"
tt4430212,Drishyam
tt4857264,The Invisible Guest
tt1454029,The Help
tt0093779,The Princess Bride
tt0088247,The Terminator
tt0058946,The Battle of Algiers
tt5323662,A Silent Voice: The Movie
tt0367110,Swades
tt0169102,Lagaan: Once Upon a Time in India
tt0050613,Throne of Blood
